IDENT;SEXO;ESTUDIOS_PADRE;ESTUDIOS_MADRE;EST_B2_2;EST_M1;EST_B11_2;EST_B11_3
589;2;3;4;2;2;1;2
590;2;3;3; ;2;2;2
591;2;4;4;2;2;2;2
592;2;8;8; ;2;2;2
593;2;6;4; ;2;2;2
594;2;3;4;2;2;2;2
595;2;9;8;2;2;1;2
596;2;6;4;2;2;2;2
597;2;3;3;2;2;1;2
598;2;2;2;2;2;2;2
599;2;6;6; ;2;1;2
600;2;4;4; ;2;2;2
601;2;3;9;1;2;1;2
602;2;2;2;2;2;1;2
603;2;2;2;2;2;2;2
604;2;6;6;2;2;1;2
605;2;7;8; ;2;1;2
606;2;5;7;2;2;2;2
607;2;4;4; ;2;2;2
608;2;8;7; ;2;2;2
609;2;6;6;2;2;2;2
610;2;4;4;2;2;2;2
611;2;4;4;2;2;2;2
612;2;5;8;2;1;2;2
613;2;5;7; ;2;2;2
614;2;7;6;2;2;2;2
615;2;5;4; ;2;2;2
616;2;3;5;2;2;1;2
617;2;8;8; ;2;2;2
618;2;9;4; ;2;2;2
619;2;9;4;2;2;2;2
620;2;8;8;2;2;2;2
621;2;3;4;2;1;2;2
622;2;8;8; ;2;2;2
623;2;8;8; ;2;1;2
624;2;3;3;2;2;1;1
625;2;3;6; ;2;1;2
626;2;4;4;2;2;2;2
627;2;3;3;2;2;2;2
628;2;3;8;2;2;2;2
629;2;7;6; ;2;2;2
630;2;4;4;2;1;1;2
631;2;4;7;2;2;2;2
632;2;6;3; ;2;1;2
633;2;8;8;2;2;2;2
634;2;3;2;2;2;1;2
635;2;4;4;2;2;1;2
636;2;2;3;2;2;2;2
637;2;8;4;2;2;2;2
638;2;7;7;2;2;1;2
639;2;4;4;2;2;2;2
640;2;6;6;2;2;1;2
641;2;6;7;2;2;2;2
642;2;4;3;2;2;1;2
643;2;8;6; ;2;2;2
644;2;8;4; ;2;2;2
645;2;3;4;1;2;1;2
646;2;8;4;2;1;1;2
647;2;4;8;2;1;2;2
648;2;5;3;2;2;2;2
649;2;8;8;2;2;2;2
650;2;9;9; ;2;2;2
651;2;8;8;1;2;2;2
652;2;4;4;2;1;2;2
653;2;9;4;2;2;2;2
654;2;9;8; ;1;2;2
655;2;3;3; ;2;2;2
656;2;4;6;2;2;1;2
657;2;5;6;2;2;2;2
658;2;4;5;2;2;2;2
659;2;2;8;2;2;2;2
660;2;7;3;2;2;2;2
661;2;4;8;2;2;2;2
662;2;9;9;2;2;2;2
663;2;4;8; ;2;1;2
664;2;8;8; ;2;2;2
665;2;7;4;2;2;2;2
666;1;5;3; ;2;2;2
667;1;6;3;2;2;2;2
668;1;3;3;2;2;2;2
669;2;5;5;2;2;2;2
670;2;3;3; ;2;2;2
671;2;9;5;2;2;2;2
672;2;3;3;2;2;2;2
673;2;8;2;2;2;2;2
674;2;4;4;2;2;2;2
